A001_01;A002;A003;A004;A004_01;A004_02;A004_03;A004_04;A004_05;A004_06;A005;A006;A101_01;A101_02;A101_03;A101_04;A102_01;A102_02;A102_03;A102_04;A102_05;A103_01;A103_02;A103_03;A103_04;A103_05;A104_01;A104_02;A104_03;A201_01;A201_02;A201_03;A201_04;A201_05;A202_01;A202_02;A202_03;A202_04;A202_05;A204_01;A204_02;A204_03;A204_04;A204_05;A205_01;A205_02;A205_03;A205_04;A205_05;A206_CP;A206;A207_CP;A207;A208_CP;A208
27;2;6;1;2;1;1;1;1;1;3;1;4;6;3;2;3;2;1;3;2;5;4;5;5;5;2;2;2;7;7;6;7;6;6;6;5;6;6;6;6;6;5;6;7;6;5;7;6;42;1;26;4;21;2
24;1;6;1;1;2;1;1;1;1;1;1;4;2;4;3;4;3;3;4;4;5;6;7;6;6;4;4;4;7;6;7;6;6;4;4;4;4;4;5;5;5;5;5;6;6;6;7;7;43;1;27;4;21;1
31;1;6;4;2;2;2;1;1;2;1;1;3;6;5;5;5;1;2;4;2;1;1;2;1;1;1;1;1;3;3;4;4;3;2;1;2;4;2;1;2;1;1;2;1;4;4;1;5;43;2;27;3;22;2
34;2;6;4;2;2;2;2;1;1;5;1;4;5;5;5;6;2;2;2;4;1;2;2;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;44;1;28;3;22;1
25;1;6;3;2;2;1;1;2;1;1;1;4;3;3;3;3;3;2;3;3;1;2;4;2;1;3;3;1;4;3;4;2;4;4;1;3;2;3;1;2;2;2;1;1;4;4;4;5;44;2;28;4;23;1
24;1;6;3;2;2;2;1;1;1;1;1;7;6;5;5;4;4;2;5;5;1;1;1;1;1;1;1;1;5;3;4;3;2;3;1;2;1;1;1;1;1;1;1;1;2;1;1;1;45;2;29;4;23;2
28;1;6;2;2;2;1;1;1;1;1;1;5;6;5;5;4;4;3;6;6;6;5;4;5;5;3;3;4;5;4;5;4;4;6;6;5;5;5;4;4;5;5;2;5;4;4;5;6;45;1;29;3;24;2
45;1;6;1;2;1;1;1;1;1;2;1;4;7;4;4;3;1;1;2;1;1;1;1;1;1;1;1;1;4;1;4;4;1;4;1;1;1;4;1;1;1;1;4;1;1;4;1;1;47;1;31;4;25;1
37;1;6;3;2;2;2;1;1;1;2;1;3;5;3;2;5;1;1;3;4;1;1;1;1;1;1;1;1;1;1;4;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;48;2;32;3;26;1
28;1;6;3;2;2;2;1;1;1;3;1;6;7;6;7;7;5;6;6;6;6;6;6;7;7;5;5;5;7;6;6;6;6;7;7;7;7;7;7;7;7;7;4;7;7;7;7;7;48;1;32;4;27;1
24;2;6;1;1;2;1;1;1;1;1;1;3;3;4;4;2;3;2;5;2;6;5;6;5;6;3;2;2;6;6;6;5;5;5;4;4;5;5;5;6;6;5;5;6;6;6;5;5;49;1;33;3;27;2
24;1;6;2;2;2;1;1;1;1;1;1;5;6;5;5;5;4;3;4;5;2;1;2;1;1;2;1;1;6;4;6;4;3;3;3;3;3;2;3;3;4;2;3;3;3;4;3;3;49;2;33;4;28;2
23;1;6;3;2;2;1;1;1;2;1;1;4;6;4;5;5;5;4;5;4;2;3;2;3;2;1;3;1;4;5;5;3;3;5;6;6;6;5;2;4;4;4;2;3;4;5;5;6;50;2;34;4;29;1
24;2;6;1;2;1;1;1;1;1;3;1;2;5;4;3;2;2;1;2;1;1;2;2;1;2;2;1;1;3;2;4;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;50;1;34;3;28;1
42;2;6;3;2;1;2;1;1;2;2;1;3;4;4;5;5;2;2;4;4;1;2;2;1;1;1;1;1;1;2;3;2;2;5;3;1;3;2;2;2;3;2;2;1;3;3;3;3;51;2;35;4;29;2
25;1;5;3;1;2;2;1;2;1;1;1;3;6;4;3;5;3;3;4;3;4;3;4;4;3;6;4;3;6;6;6;3;6;6;6;6;6;6;4;4;5;5;5;5;5;5;5;6;51;1;35;3;30;1
36;1;6;2;1;2;2;1;1;1;1;1;5;6;5;5;5;3;3;4;5;3;3;4;3;4;4;3;3;5;5;6;4;5;6;5;5;5;5;4;5;5;5;5;5;5;6;5;6;52;1;36;3;30;2
27;1;6;2;2;2;1;1;1;1;1;1;3;6;3;5;4;5;5;5;5;4;5;5;4;4;2;2;2;6;6;6;3;4;5;5;4;6;6;5;6;6;6;6;5;6;5;6;6;52;2;36;4;31;1
19;2;4;4;2;2;1;2;2;1;1;1;4;3;4;4;6;3;4;5;3;3;4;5;3;4;4;3;5;6;5;6;3;6;5;5;5;5;5;3;4;4;5;4;5;5;5;4;6;53;1;37;4;31;2
26;1;6;4;2;2;2;1;2;1;1;1;3;6;5;4;5;3;4;5;6;3;3;4;2;3;3;3;3;5;5;5;2;4;4;6;6;6;5;3;4;5;5;4;4;5;5;4;5;53;2;37;3;32;2
24;1;5;2;1;2;1;1;2;1;1;1;2;4;3;3;2;2;2;2;2;3;3;4;2;4;6;3;3;4;3;5;4;3;6;6;5;6;6;5;5;4;5;5;5;5;5;5;5;54;1;38;3;32;1
29;1;6;2;2;2;1;1;1;1;1;1;4;5;3;5;4;2;2;3;4;2;3;2;5;2;2;2;2;6;5;6;3;5;5;6;6;6;6;7;6;6;7;6;5;5;5;6;6;55;2;38;4;33;2
26;1;6;2;2;2;1;1;1;1;1;1;2;3;4;3;3;2;1;2;6;2;7;7;7;5;6;1;3;7;7;7;7;4;2;7;6;6;6;7;7;7;7;7;4;7;7;7;7;55;1;39;3;34;2
35;1;6;1;2;1;1;1;1;1;2;1;3;7;4;4;1;6;2;2;2;3;2;2;2;2;1;1;1;1;1;4;4;4;4;1;1;1;1;1;4;1;1;4;1;1;1;1;1;57;2;41;3;36;1
39;1;6;2;1;2;2;1;1;1;2;1;4;6;5;5;6;4;4;4;3;4;5;4;3;3;3;4;3;6;6;6;5;6;5;5;5;6;5;3;4;4;4;4;5;5;5;6;5;58;1;42;3;37;1
23;1;6;3;2;2;1;1;2;1;2;1;3;4;5;5;2;1;2;5;2;1;2;4;1;1;1;1;1;3;1;4;3;3;2;2;3;3;3;4;3;5;3;4;3;3;3;3;3;58;2;43;3;38;2
40;1;5;3;2;2;2;1;1;1;1;1;4;5;3;4;5;1;1;2;2;1;1;1;1;1;1;1;2;6;6;6;2;4;2;2;5;3;3;1;1;2;2;2;5;3;5;4;6;59;1;43;4;38;1
26;2;6;1;2;1;1;1;1;1;1;1;4;4;3;5;6;3;2;5;6;2;1;1;1;1;1;1;1;4;3;5;5;4;4;2;3;1;1;1;3;2;1;1;1;1;1;1;5;59;2;44;4;39;1
29;1;6;1;1;1;1;1;1;2;1;1;2;2;2;3;5;1;1;4;1;1;1;1;7;7;1;1;1;6;6;7;5;5;4;1;1;1;2;6;7;7;7;7;1;4;4;4;4;60;2;44;3;39;2
